,,0,1
TP9_theta,mean,0.00015990599040734105,0.0001661778943503579
TP9_theta,std,6.317420322287733e-05,6.357940237311591e-05
TP9_alpha,mean,0.00011771754241658005,0.00011984875217288457
TP9_alpha,std,4.332086833125091e-05,3.846555778006007e-05
TP9_beta,mean,2.0533308956750837e-05,2.242116875253559e-05
TP9_beta,std,5.432574041257675e-06,6.0876541374107256e-06
TP9_theta_alpha,mean,1.4099308615507622,1.412400349932822
TP9_theta_alpha,std,0.5076193359817257,0.5063524037309703
TP9_beta_alpha,mean,0.20423863174807808,0.21052889646389625
TP9_beta_alpha,std,0.09898086228414157,0.09052644994353697
TP9_engagement,mean,0.3507310207160025,0.36293972038633804
TP9_engagement,std,0.15922925522794254,0.15287494373004595
AF7_theta,mean,8.317104869306653e-05,8.332797016842097e-05
AF7_theta,std,2.2364909511073054e-05,2.1376321433694355e-05
AF7_alpha,mean,6.513247670338735e-05,6.362076944423393e-05
AF7_alpha,std,1.8139665806139368e-05,1.628175278986596e-05
AF7_beta,mean,2.4243245474595486e-05,2.3714487060476515e-05
AF7_beta,std,3.493046555532218e-06,3.5913251612702432e-06
AF7_theta_alpha,mean,1.3513718820575975,1.3789532880539328
AF7_theta_alpha,std,0.45675623054861997,0.46875248197282343
AF7_beta_alpha,mean,0.40934869316126127,0.40263215342584835
AF7_beta_alpha,std,0.14068256054663764,0.12627596483338502
AF7_engagement,mean,0.7228252115657585,0.7051522330773351
AF7_engagement,std,0.1967462017996025,0.17791354198623263
AF8_theta,mean,9.12897508160169e-05,9.441109876031111e-05
AF8_theta,std,2.2618994294593897e-05,2.330197398453521e-05
AF8_alpha,mean,6.829435190588859e-05,6.759175055699628e-05
AF8_alpha,std,1.748590637399235e-05,1.686935579570825e-05
AF8_beta,mean,2.519796986604747e-05,2.4946403316770194e-05
AF8_beta,std,3.927880601270988e-06,4.229969057027642e-06
AF8_theta_alpha,mean,1.408464765482021,1.491025849078808
AF8_theta_alpha,std,0.434256302460516,0.4918000482102622
AF8_beta_alpha,mean,0.3902535900851255,0.3860722374874752
AF8_beta_alpha,std,0.11652342927124983,0.10851629474958575
AF8_engagement,mean,0.6695420739995608,0.6493072589855471
AF8_engagement,std,0.16946913737493988,0.1458507851986233
TP10_theta,mean,8.447552939956105e-05,8.670356986925554e-05
TP10_theta,std,2.138725414545062e-05,2.160594345281393e-05
TP10_alpha,mean,6.745490656395435e-05,6.745951838819135e-05
TP10_alpha,std,1.8597965812054252e-05,1.7481799351269906e-05
TP10_beta,mean,2.5092112211342282e-05,2.4186890876008074e-05
TP10_beta,std,3.5897394947987915e-06,3.8693882523917205e-06
TP10_theta_alpha,mean,1.368062644374267,1.389806079026097
TP10_theta_alpha,std,0.5034964811113168,0.4933923341696865
TP10_beta_alpha,mean,0.3937469874125905,0.37659421605501303
TP10_beta_alpha,std,0.12499858281367136,0.11679541356268927
TP10_engagement,mean,0.6993375637214152,0.6539090355976445
TP10_engagement,std,0.18088813790283487,0.15704105753946535
alpha_asymmetry,mean,0.002140975123301687,0.008993531730275513
alpha_asymmetry,std,0.06285008412764814,0.08162929159522292
